id,name,no2Ags
08415073,Trochtelfingen,10041518
08125102,Weinsberg,10041518
08117019,Eislingen/Fils,10041518
08117055,Wangen,10041518
08119075,Sulzbach an der Murr,10041518
08116076,Aichwald,10041518
08126047,Kupferzell,16066042
08415039,Hülben,10041518
08116011,Beuren,10041518
08425108,Schelklingen,10041518
07334008,Hagenbach,10041518
08115001,Aidlingen,10041518
03252004,Coppenbrügge,15085370
08415034,Hayingen,10041518
08415053,Münsingen,10041518
14522590,Weißenborn/Erzgeb.,14522180
07339027,Heidesheim am Rhein,10041518
13072094,Schorssow,13003000
13072069,Lüssow,13003000
13075065,Korswandt,12073532
09774135,Günzburg,16072013
08425022,Börslingen,16066042
09775126,Holzheim,16072013
09774196,Winterbach,16072013
08135026,Nattheim,16072013
08136046,Neuler,16066042
09774116,Ursberg,16072013
08425024,Breitingen,10041518
07337029,Gleiszellen-Gleishorbach,10041518
07337056,Niederotterbach,10041518
08317021,Durbach,10041100
08315133,Vogtsburg im Kaiserstuhl,10041100
16062041,Nordhausen,
08435029,Kressbronn am Bodensee,10041100
08116042,Neckartenzlingen,10041518
13076058,Groß Laasch,13004000
15084590,Zeitz,16052000
09774155,Leipheim,16072013
08135025,Königsbronn,16066042
08135010,Dischingen,16072013
09773137,Haunsheim,16072013
09774145,Kammeltal,16072013
08127012,Bühlertann,16066042
09577136,Gunzenhausen,16072013
09577122,Dittenheim,16072013
14628020,Bad Gottleuba-Berggießhübel,14628010
09176124,Eitensheim,16072013
07332017,Forst an der Weinstraße,10041518
09375213,Zeitlarn,14523320
09175122,Grafing b. München,14523320
15090285,Kamern,15090535
09187170,Rott a. Inn,14523320
09187142,Schechen,14523320
09476177,Steinwiesen,16072013
03459017,Fürstenau,15085370
09181141,Pürgen,16072013
09180116,Farchant,16072013
09175121,Glonn,14523320
09190152,Seeshaupt,16072013
09179140,Oberschweinbach,16072013
08425013,Ballendorf,16066042
09773187,Zöschingen,16072013
09774185,Thannhausen,16072013
09189133,Obing,14523320
16077044,Starkenberg,16077001
16077048,Treben,14729050
09375114,Altenthann,14523320
15084235,Hohenmölsen,15084550
09372128,Gleißenberg,14523320
09372115,Blaibach,14523320
09374133,Luhe-Wildenau,14523320
15083411,Oebisfelde-Weferlingen,15081280
12064472,Strausberg,12064084
09376171,Teunz,14523320
09171116,Feichten a.d. Alz,14523320
09187138,Gstadt a. Chiemsee,14523320
14628360,Sebnitz,14625020
14521340,Königswalde,14521020
14521060,Bärenstein,14521020
14625090,Cunewalde,14625020
14521560,Sehmatal,14521020
14628050,Bannewitz,14612000
14523130,Grünbach,14523320
05366032,Nettersheim,10044114
14522490,Rochlitz,14729050
14729010,Bad Lausick,14729050
14521020,Annaberg-Buchholz,
14521040,Auerbach,14521020
14729320,Neukieritzsch,14729050
14522010,Altmittweida,14511000
14521280,Heidersdorf,14522400
09172116,Berchtesgaden,14523320
15084282,Lanitz-Hassel-Tal,15084550
15084341,Molauer Land,16053000
09574451,Behringersdorfer Forst,16072013
09574141,Neunkirchen a. Sand,16072013
09574157,Schwarzenbruck,16072013
16066044,Metzels,16066042
09673127,Großeibstadt,16066042
16066041,Mehmels,16066042
16066094,Grabfeld,16066042
16066079,Utendorf,16066042
16067035,Haina,16056000
16063037,Hallungen,16064046
09673160,Saal a.d. Saale,16066042
16066005,Belrieth,16066042
09673134,Höchheim,16066042
16066073,Sülzfeld,16066042
13073011,Binz,13003000
08327009,Deilingen,10041100
08125108,Zaberfeld,10041518
08236013,Engelsbrand,10041518
08417014,Dautmergen,10041100
08237074,Waldachtal,10041100
13073096,Velgast,13003000
08115037,Nufringen,10041518
07337006,Barbelroth,10041518
08118059,Oberriexingen,10041518
08125074,Nordheim,10041518
08415059,Pfullingen,10041518
08125061,Massenbachhausen,10041518
08117014,Deggingen,10041518
14628030,Bad Schandau,14612000
08125030,Flein,10041518
08116077,Filderstadt,10041518
08317056,Kappelrodeck,10041100
09776116,Lindau (Bodensee),10041100
08237028,Freudenstadt,10041100
08315111,Sulzburg,10041100
08325060,Villingendorf,10041100
08125034,Gemmingen,10041518
08326003,Bad Dürrheim,10041100
08437005,Beuron,10041100
09275160,Witzmannsberg,14521020
07340043,Schindhard,10041518
07340502,Bundenthal,10041518
08416049,Neustetten,10041518
12069249,Groß Kreutz (Havel),12051000
08437102,Schwenningen,10041100
08125049,Kirchardt,10041518
08236011,Eisingen,10041518
08237019,Dornstetten,10041100
08215110,Waldbronn,10041518
08335097,Mühlhausen-Ehingen,10041100
08337027,Dachsberg (Südschwarzwald),10041100
08336080,Schönenberg,10041100
08325069,Zimmern ob Rottweil,10041100
08325071,Eschbronn,10041100
08337096,Bad Säckingen,10041100
08315131,Ehrenkirchen,10041100
08316003,Biederbach,10041100
08336082,Schwörstadt,10041100
08235046,Nagold,10041518
08327023,Hausen ob Verena,10041100
07340047,Schwanheim,10041518
08317065,Lahr/Schwarzwald,10041100
08237045,Loßburg,10041100
08235067,Simmozheim,10041518
08325001,Aichhalden,10041100
07337044,Insheim,10041518
08417052,Ratshausen,10041100
08236033,Knittlingen,10041518
08326060,Triberg im Schwarzwald,10041100
08417044,Meßstetten,10041100
08317096,Offenburg,10041100
08326037,Mönchweiler,10041100
