group,krs,value
Unter-3-Jährige,15086,0.483
Unter-3-Jährige,15087,0.396
Unter-3-Jährige,15088,0.490
Unter-3-Jährige,15089,0.445
Unter-3-Jährige,15090,0.429
Unter-3-Jährige,15091,0.506
Unter-3-Jährige,16051,0.477
Unter-3-Jährige,16052,0.484
Unter-3-Jährige,16053,0.541
Unter-3-Jährige,16054,0.414
Unter-3-Jährige,16055,0.525
Unter-3-Jährige,16056,0.443
Unter-3-Jährige,16061,0.423
Unter-3-Jährige,16062,0.471
Unter-3-Jährige,16063,0.447
Unter-3-Jährige,16064,0.461
Unter-3-Jährige,16065,0.447
Unter-3-Jährige,16066,0.476
Unter-3-Jährige,16067,0.461
Unter-3-Jährige,16068,0.509
Unter-3-Jährige,16069,0.480
Unter-3-Jährige,16070,0.463
Unter-3-Jährige,16071,0.538
Unter-3-Jährige,16072,0.492
Unter-3-Jährige,16073,0.517
Unter-3-Jährige,16074,0.499
Unter-3-Jährige,16075,0.485
Unter-3-Jährige,16076,0.498
Unter-3-Jährige,16077,0.506
Unter-3-Jährige,DE,0.183
3- bis Unter-6-Jährige,1001,0.408
3- bis Unter-6-Jährige,1002,0.650
3- bis Unter-6-Jährige,1003,0.593
3- bis Unter-6-Jährige,1004,0.396
3- bis Unter-6-Jährige,1051,0.073
3- bis Unter-6-Jährige,1053,0.352
3- bis Unter-6-Jährige,1054,0.242
3- bis Unter-6-Jährige,1055,0.191
3- bis Unter-6-Jährige,1056,0.311
3- bis Unter-6-Jährige,1057,0.177
3- bis Unter-6-Jährige,1058,0.173
3- bis Unter-6-Jährige,1059,0.125
3- bis Unter-6-Jährige,1060,0.377
3- bis Unter-6-Jährige,1061,0.104
3- bis Unter-6-Jährige,1062,0.395
3- bis Unter-6-Jährige,2000,0.456
3- bis Unter-6-Jährige,3101,0.466
3- bis Unter-6-Jährige,3102,0.425
3- bis Unter-6-Jährige,3103,0.635
3- bis Unter-6-Jährige,3151,0.218
3- bis Unter-6-Jährige,3152,0.475
3- bis Unter-6-Jährige,3153,0.297
3- bis Unter-6-Jährige,3154,0.337
3- bis Unter-6-Jährige,3155,0.245
3- bis Unter-6-Jährige,3156,0.198
3- bis Unter-6-Jährige,3157,0.271
3- bis Unter-6-Jährige,3158,0.273
3- bis Unter-6-Jährige,3241,0.517
3- bis Unter-6-Jährige,3251,0.122
3- bis Unter-6-Jährige,3252,0.268
3- bis Unter-6-Jährige,3254,0.385
3- bis Unter-6-Jährige,3255,0.134
3- bis Unter-6-Jährige,3256,0.158
3- bis Unter-6-Jährige,3257,0.263
3- bis Unter-6-Jährige,3351,0.285
3- bis Unter-6-Jährige,3352,0.238
3- bis Unter-6-Jährige,3353,0.381
3- bis Unter-6-Jährige,3354,0.161
3- bis Unter-6-Jährige,3355,0.343
3- bis Unter-6-Jährige,3356,0.113
3- bis Unter-6-Jährige,3357,0.121
3- bis Unter-6-Jährige,3358,0.190
3- bis Unter-6-Jährige,3359,0.234
3- bis Unter-6-Jährige,3360,0.233
3- bis Unter-6-Jährige,3361,0.198
3- bis Unter-6-Jährige,3401,0.233
3- bis Unter-6-Jährige,3402,0.222
3- bis Unter-6-Jährige,3403,0.431
3- bis Unter-6-Jährige,3404,0.593
3- bis Unter-6-Jährige,3405,0.260
3- bis Unter-6-Jährige,3451,0.173
3- bis Unter-6-Jährige,3452,0.142
3- bis Unter-6-Jährige,3453,0.088
3- bis Unter-6-Jährige,3454,0.169
3- bis Unter-6-Jährige,3455,0.175
3- bis Unter-6-Jährige,3456,0.058
3- bis Unter-6-Jährige,3457,0.104
3- bis Unter-6-Jährige,3458,0.136
3- bis Unter-6-Jährige,3459,0.157
3- bis Unter-6-Jährige,3460,0.078
3- bis Unter-6-Jährige,3461,0.171
3- bis Unter-6-Jährige,3462,0.106
3- bis Unter-6-Jährige,4011,0.362
3- bis Unter-6-Jährige,4012,0.417
3- bis Unter-6-Jährige,5111,0.726
3- bis Unter-6-Jährige,5112,0.231
3- bis Unter-6-Jährige,5113,0.448
3- bis Unter-6-Jährige,5114,0.549
3- bis Unter-6-Jährige,5116,0.409
3- bis Unter-6-Jährige,5117,0.362
3- bis Unter-6-Jährige,5119,0.244
3- bis Unter-6-Jährige,5120,0.609
3- bis Unter-6-Jährige,5122,0.470
3- bis Unter-6-Jährige,5124,0.316
3- bis Unter-6-Jährige,5154,0.371
3- bis Unter-6-Jährige,5158,0.504
3- bis Unter-6-Jährige,5162,0.533
3- bis Unter-6-Jährige,5166,0.456
3- bis Unter-6-Jährige,5170,0.393
3- bis Unter-6-Jährige,5314,0.565
3- bis Unter-6-Jährige,5315,0.769
3- bis Unter-6-Jährige,5316,0.570
3- bis Unter-6-Jährige,5334,0.561
3- bis Unter-6-Jährige,5358,0.534
3- bis Unter-6-Jährige,5362,0.461
3- bis Unter-6-Jährige,5366,0.336
3- bis Unter-6-Jährige,5370,0.397
3- bis Unter-6-Jährige,5374,0.374
3- bis Unter-6-Jährige,5378,0.456
3- bis Unter-6-Jährige,5382,0.439
3- bis Unter-6-Jährige,5512,0.352
3- bis Unter-6-Jährige,5513,0.280
3- bis Unter-6-Jährige,5515,0.554
3- bis Unter-6-Jährige,5554,0.369
3- bis Unter-6-Jährige,5558,0.405
3- bis Unter-6-Jährige,5562,0.375
3- bis Unter-6-Jährige,5566,0.375
3- bis Unter-6-Jährige,5570,0.261
3- bis Unter-6-Jährige,5711,0.514
3- bis Unter-6-Jährige,5754,0.436
3- bis Unter-6-Jährige,5758,0.479
3- bis Unter-6-Jährige,5762,0.459
3- bis Unter-6-Jährige,5766,0.428
3- bis Unter-6-Jährige,5770,0.363
3- bis Unter-6-Jährige,5774,0.519
3- bis Unter-6-Jährige,5911,0.384
3- bis Unter-6-Jährige,5913,0.432
3- bis Unter-6-Jährige,5914,0.314
3- bis Unter-6-Jährige,5915,0.393
3- bis Unter-6-Jährige,5916,0.488
3- bis Unter-6-Jährige,5954,0.426
3- bis Unter-6-Jährige,5958,0.362
3- bis Unter-6-Jährige,5962,0.285
3- bis Unter-6-Jährige,5966,0.442
3- bis Unter-6-Jährige,5970,0.399
3- bis Unter-6-Jährige,5974,0.390
3- bis Unter-6-Jährige,5978,0.315
3- bis Unter-6-Jährige,6411,0.573
3- bis Unter-6-Jährige,6412,0.699
3- bis Unter-6-Jährige,6413,0.656
3- bis Unter-6-Jährige,6414,0.743
3- bis Unter-6-Jährige,6431,0.414
3- bis Unter-6-Jährige,6432,0.406
3- bis Unter-6-Jährige,6433,0.357
3- bis Unter-6-Jährige,6434,0.578
3- bis Unter-6-Jährige,6435,0.413
3- bis Unter-6-Jährige,6436,0.591
3- bis Unter-6-Jährige,6437,0.329
3- bis Unter-6-Jährige,6438,0.477
3- bis Unter-6-Jährige,6439,0.503
3- bis Unter-6-Jährige,6440,0.434
3- bis Unter-6-Jährige,6531,0.407
3- bis Unter-6-Jährige,6532,0.393
3- bis Unter-6-Jährige,6533,0.361
3- bis Unter-6-Jährige,6534,0.520
3- bis Unter-6-Jährige,6535,0.401
3- bis Unter-6-Jährige,6611,0.550
3- bis Unter-6-Jährige,6631,0.515
3- bis Unter-6-Jährige,6632,0.477
3- bis Unter-6-Jährige,6633,0.233
3- bis Unter-6-Jährige,6634,0.297
3- bis Unter-6-Jährige,6635,0.393
3- bis Unter-6-Jährige,6636,0.566
3- bis Unter-6-Jährige,7111,0.479
3- bis Unter-6-Jährige,7131,0.404
3- bis Unter-6-Jährige,7132,0.401
3- bis Unter-6-Jährige,7133,0.525
3- bis Unter-6-Jährige,7134,0.330
3- bis Unter-6-Jährige,7135,0.590
3- bis Unter-6-Jährige,7137,0.533
3- bis Unter-6-Jährige,7138,0.457
3- bis Unter-6-Jährige,7140,0.484
3- bis Unter-6-Jährige,7141,0.541
3- bis Unter-6-Jährige,7143,0.520
3- bis Unter-6-Jährige,7211,0.621
3- bis Unter-6-Jährige,7231,0.639
3- bis Unter-6-Jährige,7232,0.507
3- bis Unter-6-Jährige,7233,0.508
3- bis Unter-6-Jährige,7235,0.569
3- bis Unter-6-Jährige,7311,0.322
3- bis Unter-6-Jährige,7312,0.522
3- bis Unter-6-Jährige,7313,0.634
3- bis Unter-6-Jährige,7314,0.394
3- bis Unter-6-Jährige,7315,0.701
3- bis Unter-6-Jährige,7316,0.492
3- bis Unter-6-Jährige,7317,0.508
3- bis Unter-6-Jährige,7318,0.566
3- bis Unter-6-Jährige,7319,0.355
3- bis Unter-6-Jährige,7320,0.403
3- bis Unter-6-Jährige,7331,0.410
3- bis Unter-6-Jährige,7332,0.569
3- bis Unter-6-Jährige,7333,0.426
3- bis Unter-6-Jährige,7334,0.522
3- bis Unter-6-Jährige,7335,0.460
3- bis Unter-6-Jährige,7336,0.461
3- bis Unter-6-Jährige,7337,0.514
3- bis Unter-6-Jährige,7338,0.540
3- bis Unter-6-Jährige,7339,0.541
3- bis Unter-6-Jährige,7340,0.564
3- bis Unter-6-Jährige,8111,0.575
3- bis Unter-6-Jährige,8115,0.185
3- bis Unter-6-Jährige,8116,0.212
3- bis Unter-6-Jährige,8117,0.173
3- bis Unter-6-Jährige,8118,0.214
3- bis Unter-6-Jährige,8119,0.168
3- bis Unter-6-Jährige,8121,0.302
3- bis Unter-6-Jährige,8125,0.183
3- bis Unter-6-Jährige,8126,0.128
3- bis Unter-6-Jährige,8127,0.205
3- bis Unter-6-Jährige,8128,0.123
3- bis Unter-6-Jährige,8135,0.182
3- bis Unter-6-Jährige,8136,0.113
3- bis Unter-6-Jährige,8211,0.268
3- bis Unter-6-Jährige,8212,0.440
3- bis Unter-6-Jährige,8215,0.184
3- bis Unter-6-Jährige,8216,0.168
3- bis Unter-6-Jährige,8221,0.584
3- bis Unter-6-Jährige,8222,0.445
3- bis Unter-6-Jährige,8225,0.094
3- bis Unter-6-Jährige,8226,0.255
3- bis Unter-6-Jährige,8231,0.218
3- bis Unter-6-Jährige,8235,0.113
3- bis Unter-6-Jährige,8236,0.145
3- bis Unter-6-Jährige,8237,0.100
3- bis Unter-6-Jährige,8311,0.373
3- bis Unter-6-Jährige,8315,0.183
3- bis Unter-6-Jährige,8316,0.147
3- bis Unter-6-Jährige,8317,0.206
3- bis Unter-6-Jährige,8325,0.084
3- bis Unter-6-Jährige,8326,0.166
3- bis Unter-6-Jährige,8327,0.094
3- bis Unter-6-Jährige,8335,0.230
3- bis Unter-6-Jährige,8336,0.187
3- bis Unter-6-Jährige,8337,0.104
3- bis Unter-6-Jährige,8415,0.176
3- bis Unter-6-Jährige,8416,0.302
3- bis Unter-6-Jährige,8417,0.121
3- bis Unter-6-Jährige,8421,0.310
3- bis Unter-6-Jährige,8425,0.153
3- bis Unter-6-Jährige,8426,0.165
3- bis Unter-6-Jährige,8435,0.191
3- bis Unter-6-Jährige,8436,0.144
3- bis Unter-6-Jährige,8437,0.146
3- bis Unter-6-Jährige,9161,0.481
3- bis Unter-6-Jährige,9162,0.552
3- bis Unter-6-Jährige,9163,0.290
3- bis Unter-6-Jährige,9171,0.183
3- bis Unter-6-Jährige,9172,0.162
3- bis Unter-6-Jährige,9173,0.258
3- bis Unter-6-Jährige,9174,0.408
3- bis Unter-6-Jährige,9175,0.434
3- bis Unter-6-Jährige,9176,0.257
3- bis Unter-6-Jährige,9177,0.285
3- bis Unter-6-Jährige,9178,0.312
3- bis Unter-6-Jährige,9179,0.408
3- bis Unter-6-Jährige,9180,0.170
3- bis Unter-6-Jährige,9181,0.202
3- bis Unter-6-Jährige,9182,0.303
3- bis Unter-6-Jährige,9183,0.178
3- bis Unter-6-Jährige,9184,0.533
3- bis Unter-6-Jährige,9185,0.207
3- bis Unter-6-Jährige,9186,0.264
3- bis Unter-6-Jährige,9187,0.187
3- bis Unter-6-Jährige,9188,0.400
3- bis Unter-6-Jährige,9189,0.123
3- bis Unter-6-Jährige,9190,0.210
3- bis Unter-6-Jährige,9261,0.388
3- bis Unter-6-Jährige,9262,0.329
3- bis Unter-6-Jährige,9263,0.213
3- bis Unter-6-Jährige,9271,0.095
3- bis Unter-6-Jährige,9272,0.064
3- bis Unter-6-Jährige,9273,0.147
3- bis Unter-6-Jährige,9274,0.215
3- bis Unter-6-Jährige,9275,0.081
3- bis Unter-6-Jährige,9276,0.055
3- bis Unter-6-Jährige,9277,0.134
3- bis Unter-6-Jährige,9278,0.095
3- bis Unter-6-Jährige,9279,0.168
3- bis Unter-6-Jährige,9361,0.336
3- bis Unter-6-Jährige,9362,0.405
3- bis Unter-6-Jährige,9363,0.433
3- bis Unter-6-Jährige,9371,0.194
3- bis Unter-6-Jährige,9372,0.080
3- bis Unter-6-Jährige,9373,0.199
3- bis Unter-6-Jährige,9374,0.199
3- bis Unter-6-Jährige,9375,0.195
3- bis Unter-6-Jährige,9376,0.140
3- bis Unter-6-Jährige,9377,0.161
3- bis Unter-6-Jährige,9461,0.463
3- bis Unter-6-Jährige,9462,0.391
3- bis Unter-6-Jährige,9463,0.581
3- bis Unter-6-Jährige,9464,0.483
3- bis Unter-6-Jährige,9471,0.302
3- bis Unter-6-Jährige,9472,0.264
3- bis Unter-6-Jährige,9473,0.473
3- bis Unter-6-Jährige,9474,0.296
3- bis Unter-6-Jährige,9475,0.298
3- bis Unter-6-Jährige,9476,0.427
3- bis Unter-6-Jährige,9477,0.459
3- bis Unter-6-Jährige,9478,0.329
3- bis Unter-6-Jährige,9479,0.397
3- bis Unter-6-Jährige,9561,0.360
3- bis Unter-6-Jährige,9562,0.555
3- bis Unter-6-Jährige,9563,0.451
3- bis Unter-6-Jährige,9564,0.630
3- bis Unter-6-Jährige,9565,0.314
3- bis Unter-6-Jährige,9571,0.317
3- bis Unter-6-Jährige,9572,0.386
3- bis Unter-6-Jährige,9573,0.481
3- bis Unter-6-Jährige,9574,0.448
3- bis Unter-6-Jährige,9575,0.363
3- bis Unter-6-Jährige,9576,0.354
3- bis Unter-6-Jährige,9577,0.320
3- bis Unter-6-Jährige,9661,0.448
3- bis Unter-6-Jährige,9662,0.327
3- bis Unter-6-Jährige,9663,0.462
3- bis Unter-6-Jährige,9671,0.377
3- bis Unter-6-Jährige,9672,0.366
3- bis Unter-6-Jährige,9673,0.486
3- bis Unter-6-Jährige,9674,0.332
3- bis Unter-6-Jährige,9675,0.420
3- bis Unter-6-Jährige,9676,0.267
3- bis Unter-6-Jährige,9677,0.382
3- bis Unter-6-Jährige,9678,0.365
3- bis Unter-6-Jährige,9679,0.304
