KREG,name,value
9773000,Dillingen a.d.Donau,7.49
3452000,Aurich/Emden,7.5
6439000,Rheingau-Taunus-Kreis,7.51
8437000,Sigmaringen,7.51
9373000,Neumarkt i.d.Opf.,7.54
13075000,Vorpommern-Greifswald,7.54
9372000,Cham,7.56
3255000,Holzminden,7.57
8235000,Calw,7.58
6634000,Schwalm-Eder-Kreis,7.58
1054000,Nordfriesland,7.6
5970000,Siegen,7.64
3458000,Oldenburg (Oldenburg),7.67
12064000,Märkisch Oderland,7.68
13072000,Landkreis Rostock,7.7
9673000,Rhön-Grabfeld,7.71
12072000,Teltow-Fläming,7.71
8417000,Zollernalbkreis,7.74
16068000,Sömmerda,7.76
15083000,Börde,7.76
13071000,Mecklenburgische Seenplatte,7.77
5366000,Euskirchen,7.78
7141000,Rhein-Lahn-Kreis,7.78
9273000,Kelheim,7.8
7336000,Kusel,7.81
16074000,Saale-Holzland-Kreis,7.82
3462000,Wittmund,7.82
3360000,Uelzen,7.83
12061000,Dahme-Spreewald,7.85
9476000,Kronach,7.85
8128000,Main-Tauber-Kreis,7.88
3156000,Osterode am Harz,7.89
16065000,Kyffhäuserkreis,7.89
9676000,Miltenberg,7.96
5762000,Höxter,7.96
3352000,Cuxhaven,7.98
9779000,Donau-Ries,8.04
7340000,Südwestpfalz/Pirmasens/Zweibrücken,8.05
6636000,Werra-Meißner-Kreis,8.06
5966000,Olpe,8.06
9176000,Eichstätt,8.14
6632000,Hersfeld-Rotenburg,8.29
9677000,Main-Spessart,8.31
8126000,Hohenlohekreis,8.32
3358000,Heidekreis,8.36
3357000,Rotenburg (Wümme),8.42
3354000,Lüchow-Dannenberg,8.44
10042000,Merzig-Wadern,8.44
9276000,Regen,8.46
15090000,Stendal,8.51
7140000,Rhein-Hunsrück-Kreis,8.55
9672000,Bad Kissingen,8.63
5958000,Hochsauerlandkreis,8.64
8237000,Freudenstadt,8.65
6535000,Vogelsbergkreis,8.66
7235000,Trier-Saarburg,8.67
13076000,Ludwigslust-Parchim,8.71
7333000,Donnersbergkreis,8.84
15086000,Jerichower Land,8.9
12070000,Prignitz,8.91
6437000,Odenwaldkreis,9.05
6635000,Waldeck-Frankenberg,9.18
7231000,Bernkastel-Wittlich,9.39
15081000,Altmarkkreis Salzwedel,9.52
7134000,Birkenfeld,9.56
7233000,Vulkaneifel,9.61
12073000,Uckermark,9.67
7135000,Cochem-Zell,9.85
12068000,Ostprignitz-Ruppin,9.85
7232000,Eifelkreis Bitburg-Prüm,9.86
