KREG,category,year,value
9775000,HAUS,2016,1518.977376
9776000,HAUS,2016,1334.235294
9777000,HAUS,2016,1384.498054
9778000,HAUS,2016,1597.465784
9779000,HAUS,2016,1578.218182
9780000,HAUS,2016,1358.025078
10041000,HAUS,2016,1476.327363
10042000,HAUS,2016,1641.227092
10043000,HAUS,2016,1694.535032
10044000,HAUS,2016,1522.428016
10045000,HAUS,2016,1555.059588
10046000,HAUS,2016,1400.936508
11000000,HAUS,2016,1484.681443
12054000,HAUS,2016,1481.191874
12060000,HAUS,2016,1719.714988
12061000,HAUS,2016,1644.182741
12062000,HAUS,2016,1463.372822
12063000,HAUS,2016,1707.78022
12064000,HAUS,2016,1663.770419
12065000,HAUS,2016,1610.200393
12066000,HAUS,2016,1618.580645
12067000,HAUS,2016,1519.174194
12068000,HAUS,2016,1492.618868
12069000,HAUS,2016,1582.556818
12070000,HAUS,2016,1543.283582
12071000,HAUS,2016,1567.718919
12072000,HAUS,2016,1682.166667
12073000,HAUS,2016,1627.326599
13003000,HAUS,2016,1463.562724
13058000,HAUS,2016,1383.027933
13071000,HAUS,2016,1372.125819
13072000,HAUS,2016,1626.702495
13073000,HAUS,2016,1409.905363
13075000,HAUS,2016,1331.635854
13076000,HAUS,2016,1620.045714
14511000,HAUS,2016,1553.562998
14521000,HAUS,2016,1645.091765
14522000,HAUS,2016,1661.14741
14523000,HAUS,2016,1625.104895
14524000,HAUS,2016,1591.858017
14612000,HAUS,2016,1541.114943
14625000,HAUS,2016,1521.439206
14626000,HAUS,2016,1562.690691
14627000,HAUS,2016,1522.930334
14628000,HAUS,2016,1667.484746
14713000,HAUS,2016,1457.7751
14729000,HAUS,2016,1435.359331
14730000,HAUS,2016,1539.390625
15002000,HAUS,2016,1476
15003000,HAUS,2016,1533.372937
15081000,HAUS,2016,1912.688889
15082000,HAUS,2016,1543.620529
15083000,HAUS,2016,1619.007026
15084000,HAUS,2016,1549.936842
15085000,HAUS,2016,1749.944223
15086000,HAUS,2016,1883.690722
15087000,HAUS,2016,1587.195531
15088000,HAUS,2016,1703.287671
15089000,HAUS,2016,1493.358634
15090000,HAUS,2016,1498.928105
15091000,HAUS,2016,1546.198198
16051000,HAUS,2016,1372.505824
16053000,HAUS,2016,1524.042254
16061000,HAUS,2016,1514.736842
16062000,HAUS,2016,1567.834101
16063000,HAUS,2016,1427.395745
16064000,HAUS,2016,1404.351351
16065000,HAUS,2016,1469.485714
16066000,HAUS,2016,1528.56872
16067000,HAUS,2016,1645.969605
16068000,HAUS,2016,1699.686747
16069000,HAUS,2016,1504.023256
16070000,HAUS,2016,1649.984848
