lon,lat,center,name
11.7658980132861,48.8032529698055,Mittelzentrum,"Neustadt a.d.Donau, Stadt"
13.6233800240211,48.6522739604505,Mittelzentrum,"Hauzenberg, Stadt"
13.3108860590343,48.4010120442834,Mittelzentrum,"Pocking, Stadt"
13.3356859736063,48.4375149798511,Mittelzentrum,"Ruhstorf a.d.Rott, Markt"
13.1290890107608,48.9704129632879,Mittelzentrum,"Regen, Stadt"
13.2345870407432,49.0148119968003,Mittelzentrum,"Zwiesel, Stadt"
13.0277809408604,48.2669030170518,Mittelzentrum,"Simbach a.Inn, Stadt"
12.8475940299957,49.3101160216472,Mittelzentrum,"Furth im Wald, Stadt"
11.8294240237966,49.7530840204858,Mittelzentrum,"Eschenbach i.d.OPf., Stadt"
11.9050310507906,49.7192219331107,Mittelzentrum,"Grafenwahr, Stadt"
11.9353190129874,49.7683880116996,Mittelzentrum,"Pressath, Stadt"
12.0408509528365,49.2091480096129,Mittelzentrum,"Burglengenfeld, Stadt"
12.1097119757038,49.1898119441066,Mittelzentrum,"Maxhltte-Haidhof, Stadt"
12.0897110219947,49.221507975461,Mittelzentrum,"Teublitz, Stadt"
12.3056890339642,50.0052109750218,Mittelzentrum,"Waldsassen, Stadt"
11.2501710167382,50.1249509897235,Mittelzentrum,Altenkunstadt
11.2516979941885,50.1408080030373,Mittelzentrum,"Burgkunstadt, Stadt"
9.18282203920745,49.9971759851482,Mittelzentrum,"Goldbach, Markt"
9.2034360303175,50.0035390272124,Mittelzentrum,"Hesbach, Markt"
9.16277698943174,49.8479120197454,Mittelzentrum,"Elsenfeld, Markt"
9.16187798955384,49.8022120173234,Mittelzentrum,"Erlenbach a.Main, Stadt"
9.14327802683036,49.8366090069991,Mittelzentrum,"Obernburg a.Main, Stadt"
10.8808201039037,48.4249181770693,Mittelzentrum,"Gersthofen, Stadt"
10.8582350218629,48.4898587826556,Mittelzentrum,Langweid a.Lech
10.4957060035145,48.5803990596239,Mittelzentrum,"Dillingen a.d.Donau, GKSt"
10.4288850088542,48.5685731221289,Mittelzentrum,"Lauingen (Donau), Stadt"
10.2743040040704,48.4551050892158,Mittelzentrum,"Gunzburg, GKSt"
10.2170539976198,48.4473109833985,Mittelzentrum,"Leipheim, Stadt"
10.0451588323006,48.3230132884987,Mittelzentrum,"Senden, Stadt"
10.0797573377102,48.2772132619665,Mittelzentrum,"Vehringen, Stadt"
10.2207940029456,47.559181121865,Mittelzentrum,"Immenstadt i.Allgru, Stadt"
10.2813920101416,47.5115660580851,Mittelzentrum,"Sonthofen, Stadt"
11.7528459846663,52.9947370135674,Mittelzentrum,"Wittenberge, Stadt"
12.1766779892798,53.1495100235377,Mittelzentrum,"Pritzwalk, Stadt"
11.8616000020433,53.0766809343328,Mittelzentrum,"Perleberg, Stadt"
12.9348529717672,52.3765999911119,Mittelzentrum,"Werder (Havel), Stadt"
13.5064750621887,52.3877140680024,Mittelzentrum,Schbnefeld
13.6361730347057,52.3268450114749,Mittelzentrum,"Wildau, Stadt"
13.3943309678924,51.5156189858212,Mittelzentrum,"Bad Liebenwerda, Stadt"
13.5175389470387,51.4582490060381,Mittelzentrum,"Elsterwerda, Stadt"
13.157489017479,53.0073699891734,Mittelzentrum,"Gransee, Stadt"
13.3324529181751,52.9794409511117,Mittelzentrum,"Zehdenick, Stadt"
14.0108789325562,51.5878399781549,Mittelzentrum,"Grodrnschen, Stadt"
13.7620409605749,51.4944620099509,Mittelzentrum,"Lauchhammer, Stadt"
13.8561779847206,51.4773639851473,Mittelzentrum,"Schwarzheide, Stadt"
14.004890978005,51.5204130101404,Mittelzentrum,"Senftenberg, Stadt"
12.4859669658945,53.1631849562745,Mittelzentrum,"Wittstock/Dosse, Stadt"
12.9779769776034,52.2323640158524,Mittelzentrum,"Beelitz, Stadt"
6.45374187186029,51.6653099783978,Mittelzentrum,"Xanten, Stadt"
11.5840179912098,51.85100899935,Mittelzentrum,"Stalfurt, Stadt"
11.7283640569806,52.0075260322809,Mittelzentrum,"Schlnebeck (Elbe), Stadt"
7.03442692982955,51.0392069957678,Mittelzentrum,"Leverkusen, Stadt"
11.7507150386867,51.798511999089,Mittelzentrum,"Bernburg (Saale), Stadt"
6.16339390027372,50.8763357930385,Mittelzentrum,"Alsdorf, Stadt"
6.17918654905685,50.9109172843416,Mittelzentrum,"Baesweiler, Stadt"
6.26301194400172,50.8219464437668,Mittelzentrum,"Eschweiler, Stadt"
6.09569202938418,50.8688385356981,Mittelzentrum,"Herzogenrath, Stadt"
6.23981557157803,50.5573986213119,Mittelzentrum,"Monschau, Stadt"
6.23015293990617,50.7680467924178,Mittelzentrum,"Stolberg (Rhld.), Kupferstadt"
6.12901972111216,50.8249752052905,Mittelzentrum,"Wtrselen, Stadt"
6.49353917048767,50.8053130047108,Mittelzentrum,"Dlren, Stadt"
6.36594277991766,50.9258079917154,Mittelzentrum,"Jnlich, Stadt"
6.5734299889051,50.9909970028962,Mittelzentrum,"Bedburg, Stadt"
6.64018908653077,50.9551730001715,Mittelzentrum,"Bergheim, Stadt"
6.90382991263547,50.8321079968725,Mittelzentrum,"Brrhl, Stadt"
6.78950910346858,50.8040160043333,Mittelzentrum,"Erftstadt, Stadt"
6.81546704780144,50.9129789974027,Mittelzentrum,"Frechen, Stadt"
6.8882299546501,50.8778109943738,Mittelzentrum,"Hrrth, Stadt"
6.69550294048604,50.8692319987983,Mittelzentrum,"Kerpen, Kolpingstadt"
6.80183209773044,50.9976080066258,Mittelzentrum,"Pulheim, Stadt"
6.98106099849231,50.8256840130532,Mittelzentrum,"Wesseling, Stadt"
6.79103201759077,50.6567119944278,Mittelzentrum,"Euskirchen, Stadt"
6.6538350457874,50.588413010663,Mittelzentrum,"Mechernich, Stadt"
6.47373891081423,50.5299110007323,Mittelzentrum,"Schleiden, Stadt"
6.31924379310756,51.0814089912155,Mittelzentrum,"Erkelenz, Stadt"
6.11974794070762,50.9665110015614,Mittelzentrum,"Geilenkirchen, Stadt"
6.09954918867678,51.0674130012478,Mittelzentrum,"Heinsberg, Stadt"
6.22874620800667,51.0487140042718,Mittelzentrum,"Heckelhoven, Stadt"
6.1192559227848,50.920592993803,Mittelzentrum,"Sbach-Palenberg, Stadt"
6.26630879298049,51.1415709959511,Mittelzentrum,"Wegberg, Stadt"
7.4076189606024,50.9891089981742,Mittelzentrum,Engelskirchen
7.56481396235798,51.0276109952954,Mittelzentrum,"Gummersbach, Stadt"
7.36802100474596,51.2071079966196,Mittelzentrum,"Radevormwald, Stadt auf der H"
7.61801290073274,50.8765110017074,Mittelzentrum,"Waldbrhl, Stadt"
7.39921897298733,51.1176069963541,Mittelzentrum,"WipperfSrth, Hansestadt"
7.131223962579,50.9902109979091,Mittelzentrum,"Bergisch Gladbach, Stadt"
