category,facet,facet_value,concern,value
Raub,Alter,75 Jahre oder älter,ziemlich,0.102
Raub,Alter,75 Jahre oder älter,sehr stark,0.065
Sexuelle Belästigung,Alter,16-24 Jahre,gar nicht,0.554
Sexuelle Belästigung,Alter,16-24 Jahre,etwas,0.184
Sexuelle Belästigung,Alter,16-24 Jahre,ziemlich,0.092
Sexuelle Belästigung,Alter,16-24 Jahre,sehr stark,0.17
Sexuelle Belästigung,Alter,25-34 Jahre,gar nicht,0.613
Sexuelle Belästigung,Alter,25-34 Jahre,etwas,0.193
Sexuelle Belästigung,Alter,25-34 Jahre,ziemlich,0.061
Sexuelle Belästigung,Alter,25-34 Jahre,sehr stark,0.133
Sexuelle Belästigung,Alter,35-44 Jahre,gar nicht,0.653
Sexuelle Belästigung,Alter,35-44 Jahre,etwas,0.195
Sexuelle Belästigung,Alter,35-44 Jahre,ziemlich,0.042
Sexuelle Belästigung,Alter,35-44 Jahre,sehr stark,0.111
Sexuelle Belästigung,Alter,45-54 Jahre,gar nicht,0.715
Sexuelle Belästigung,Alter,45-54 Jahre,etwas,0.172
Sexuelle Belästigung,Alter,45-54 Jahre,ziemlich,0.037
Sexuelle Belästigung,Alter,45-54 Jahre,sehr stark,0.076
Sexuelle Belästigung,Alter,55-64 Jahre,gar nicht,0.749
Sexuelle Belästigung,Alter,55-64 Jahre,etwas,0.149
Sexuelle Belästigung,Alter,55-64 Jahre,ziemlich,0.037
Sexuelle Belästigung,Alter,55-64 Jahre,sehr stark,0.065
Sexuelle Belästigung,Alter,65-74 Jahre,gar nicht,0.756
Sexuelle Belästigung,Alter,65-74 Jahre,etwas,0.145
Sexuelle Belästigung,Alter,65-74 Jahre,ziemlich,0.032
Sexuelle Belästigung,Alter,65-74 Jahre,sehr stark,0.067
Sexuelle Belästigung,Alter,75 Jahre oder älter,gar nicht,0.821
Sexuelle Belästigung,Alter,75 Jahre oder älter,etwas,0.114
Sexuelle Belästigung,Alter,75 Jahre oder älter,ziemlich,0.04
Sexuelle Belästigung,Alter,75 Jahre oder älter,sehr stark,0.025
